gridsize,road_mean_rel_error,rail_mean_rel_error,water_mean_rel_error
5.0,77.18576993366939,66.43018029885258,39.14149004505293
10.0,71.35998108602863,60.034746053683186,34.282549495872715
15.0,67.76414482059397,58.37551427624474,36.956280102227005
20.0,66.43332726840904,54.46513981535545,36.836262613058715
25.0,63.85679735257486,52.61513401877648,29.59088273407627
30.0,59.6861371584539,50.01206641000869,48.80095169269569
35.0,52.62590521189513,51.1764264831838,33.05667838165447
40.0,59.84075802736551,51.86226163613917,32.260526587552505
45.0,59.089452242071246,50.75929520887522,21.109882118983936
50.0,59.20555718973257,49.14394437078427,33.379444085246725
