id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"8","1","8","1","0","0","0","4605647.02275, 3448348.83744","4873968.96594, 3511968.32857",389901.369452677
"9","1","9","2","1","1","0","4605574.02748, 3437270.74683","4873968.96594, 3511968.32857",392696.230871004
"10","1","10","3","1","0","0","4606984.16221, 3422367.26283","4873968.96594, 3511968.32857",397112.3393319
"11","1","11","4","0","0","0","4608385.73563, 3407554.26195","4873968.96594, 3511968.32857",391443.679435481
"12","1","12","5","0","0","0","4609756.08574, 3393071.25515","4873968.96594, 3511968.32857",384395.693436089
"13","1","13","6","1","1","0","4610869.70575, 3381301.58693","4873968.96594, 3511968.32857",368610.888286842
"16","1","16","7","1","0","0","4609721.20773, 3329049.57084",,
"17","1","17","8","0","0","0","4607248.33204, 3316085.71507","4873968.96594, 3511968.32857",406391.849308043
"18","1","18","9","0","0","0","4605967.77722, 3305377.86515","4873968.96594, 3511968.32857",417576.605952474
"49","2","7","10","0","0","0","4624854.08987, 3460202.33129","4873968.96594, 3511968.32857",374165.319825687
"50","2","8","11","0","0","0","4619447.45079, 3451275.12977","4873968.96594, 3511968.32857",383530.914994636
"51","2","9","12","1","1","0","4618968.96594, 3436968.32857","4873968.96594, 3511968.32857",383530.914994636
"52","2","10","13","1","1","0","4618968.96594, 3421968.32857","4873968.96594, 3511968.32857",375001.301866397
"53","2","11","14","0","1","0","4618968.96594, 3406968.32857","4873968.96594, 3511968.32857",391443.679435481
"54","2","12","15","0","1","0","4618968.96594, 3391968.32857","4873968.96594, 3511968.32857",384395.693436089
"55","2","13","16","1","1","0","4619061.12392, 3377041.33702","4873968.96594, 3511968.32857",362091.943523264
"56","2","14","17","1","1","0","4620172.20399, 3362251.27696","4873968.96594, 3511968.32857",361954.637835292
"57","2","15","18","1","1","0","4620413.2094, 3346532.59219","4873968.96594, 3511968.32857",377613.215573152
"58","2","16","19","1","1","0","4618978.80029, 3331958.84122","4873968.96594, 3511968.32857",393835.323806721
"59","2","17","20","1","1","0","4618968.96594, 3316968.32857","4873968.96594, 3511968.32857",406391.849308043
"60","2","18","21","1","1","0","4619483.85987, 3303108.07531","4873968.96594, 3511968.32857",393712.726623686
"61","2","19","22","0","0","0","4626340.24837, 3294423.90534","4873968.96594, 3511968.32857",383668.497239236
"91","3","7","23","0","0","0","4635487.84522, 3462618.98901","4873968.96594, 3511968.32857",374165.319825687
"92","3","8","24","0","0","0","4633968.96594, 3451968.32857","4873968.96594, 3511968.32857",374165.319825687
"93","3","9","25","0","1","0","4633968.96594, 3436968.32857","4873968.96594, 3511968.32857",371021.447475792
"94","3","10","26","1","1","0","4633968.96594, 3421968.32857","4873968.96594, 3511968.32857",364533.201092922
"95","3","11","27","1","1","0","4633968.96594, 3406968.32857","4873968.96594, 3511968.32857",340800.688163916
"96","3","12","28","1","1","0","4633968.96594, 3391968.32857","4873968.96594, 3511968.32857",332365.974868994
"97","3","13","29","1","1","0","4633968.96594, 3376968.32857","4873968.96594, 3511968.32857",343332.423490113
"98","3","14","30","1","0","0","4633968.96594, 3361968.32857","4873968.96594, 3511968.32857",359947.584231131
"99","3","15","31","1","0","0","4633968.96594, 3346968.32857","4873968.96594, 3511968.32857",373374.366834615
"100","3","16","32","1","0","0","4633968.96594, 3331968.32857","4873968.96594, 3511968.32857",391771.127986959
"101","3","17","33","0","0","0","4633968.96594, 3316968.32857","4873968.96594, 3511968.32857",407772.425452529
"102","3","18","34","1","1","0","4633968.96594, 3301968.32857","4873968.96594, 3511968.32857",385996.200236964
"103","3","19","35","1","1","0","4635615.53162, 3287071.95869","4873968.96594, 3511968.32857",373779.679709536
"104","3","20","36","1","1","0","4635717.47159, 3271967.97391","4873968.96594, 3511968.32857",381945.985878937
"105","3","21","37","1","1","0","4635861.53692, 3257195.75216","4873968.96594, 3511968.32857",412350.181167134
"106","3","22","38","0","0","0","4639132.20027, 3248148.07645","4873968.96594, 3511968.32857",427161.377173
"109","3","25","39","1","1","0","4641397.33692, 3191223.30843","4873968.96594, 3511968.32857",514559.258632527
"110","3","26","40","1","0","0","4641326.19891, 3187502.58646","4873968.96594, 3511968.32857",514559.258632527
"132","4","6","41","0","0","0","4655854.5672, 3474747.58861","4873968.96594, 3511968.32857",247350.936159138
"133","4","7","42","0","0","0","4649628.87497, 3465801.53009","4873968.96594, 3511968.32857",254788.026349873
"134","4","8","43","0","0","0","4648968.96594, 3451968.32857","4873968.96594, 3511968.32857",254788.026349873
"135","4","9","44","0","0","0","4648968.96594, 3436968.32857","4873968.96594, 3511968.32857",366531.889228854
"136","4","10","45","0","1","0","4648968.96594, 3421968.32857","4873968.96594, 3511968.32857",351881.968651804
"137","4","11","46","1","1","0","4648968.96594, 3406968.32857","4873968.96594, 3511968.32857",340800.688163916
"138","4","12","47","1","1","0","4648968.96594, 3391968.32857","4873968.96594, 3511968.32857",323458.08388343
"139","4","13","48","1","1","0","4648968.96594, 3376968.32857","4873968.96594, 3511968.32857",326141.116192678
"140","4","14","49","1","1","0","4648968.96594, 3361968.32857","4873968.96594, 3511968.32857",320164.595872986
