id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"6","1","6","1","0","0","0","4608739.21627, 3449047.32512","4885422.36698, 3511814.00825",310591.262537634
"7","1","7","2","1","1","0","4608302.47939, 3434856.2759","4885422.36698, 3511814.00825",320037.544963378
"8","1","8","3","0","0","0","4610183.69885, 3414973.97422","4885422.36698, 3511814.00825",396766.76465089
"9","1","9","4","0","0","0","4612055.21814, 3395194.19206","4885422.36698, 3511814.00825",367479.45617007
"10","1","10","5","1","1","0","4613894.58518, 3375754.22184","4885422.36698, 3511814.00825",355618.8055823
"11","1","11","6","1","0","0","4615488.07774, 3355874.34834","4885422.36698, 3511814.00825",366768.905538244
"12","1","12","7","1","0","0","4612877.48704, 3332490.06332","4885422.36698, 3511814.00825",381564.357258726
"13","1","13","8","0","0","0","4609267.26424, 3313563.75509","4885422.36698, 3511814.00825",398657.273772357
"14","1","14","9","0","0","0","4610077.98193, 3302230.0837","4885422.36698, 3511814.00825",401855.639987409
"36","2","5","10","0","0","0","4635187.58232, 3465050.7504","4885422.36698, 3511814.00825",283719.176826333
"37","2","6","11","0","0","0","4627272.46285, 3453153.35957","4885422.36698, 3511814.00825",290664.164385552
"38","2","7","12","1","1","0","4626468.96594, 3434468.32857","4885422.36698, 3511814.00825",302728.996851724
"39","2","8","13","1","0","0","4626468.96594, 3414468.32857","4885422.36698, 3511814.00825",321591.29777008
"40","2","9","14","0","1","0","4626468.96594, 3394468.32857","4885422.36698, 3511814.00825",366885.060150133
"41","2","10","15","1","1","0","4626468.96594, 3374468.32857","4885422.36698, 3511814.00825",341100.360982974
"42","2","11","16","1","1","0","4626468.96594, 3354468.32857","4885422.36698, 3511814.00825",366451.427845907
"43","2","12","17","1","1","0","4626468.96594, 3334468.32857","4885422.36698, 3511814.00825",359981.3739791
"44","2","13","18","1","1","0","4626468.96594, 3314468.32857","4885422.36698, 3511814.00825",389180.381295907
"45","2","14","19","1","1","0","4628665.87798, 3297075.97369","4885422.36698, 3511814.00825",380881.446086741
"46","2","15","20","1","1","0","4633217.74348, 3274467.21319","4885422.36698, 3511814.00825",385068.50967645
"47","2","16","21","1","1","0","4633355.36208, 3257279.63089","4885422.36698, 3511814.00825",399458.1188962
"67","3","5","22","0","0","0","4648876.72165, 3468161.78343","4885422.36698, 3511814.00825",271581.565935604
"68","3","6","23","0","0","0","4646468.96594, 3454468.32857","4885422.36698, 3511814.00825",273316.445489459
"69","3","7","24","0","1","0","4646468.96594, 3434468.32857","4885422.36698, 3511814.00825",282969.855593903
"70","3","8","25","1","1","0","4646468.96594, 3414468.32857","4885422.36698, 3511814.00825",291195.381618898
"71","3","9","26","1","1","0","4646468.96594, 3394468.32857","4885422.36698, 3511814.00825",311299.001272238
"72","3","10","27","1","1","0","4646468.96594, 3374468.32857","4885422.36698, 3511814.00825",328167.855606174
"73","3","11","28","1","0","0","4646468.96594, 3354468.32857","4885422.36698, 3511814.00825",331454.149520515
"74","3","12","29","1","0","0","4646468.96594, 3334468.32857","4885422.36698, 3511814.00825",350168.734732306
"75","3","13","30","1","0","0","4646468.96594, 3314468.32857","4885422.36698, 3511814.00825",365034.913918434
"76","3","14","31","1","1","0","4646468.96594, 3294468.32857","4885422.36698, 3511814.00825",358113.834591052
"77","3","15","32","1","1","0","4646468.96594, 3274468.32857","4885422.36698, 3511814.00825",385079.173989699
"78","3","16","33","1","1","0","4646732.724, 3254765.96884","4885422.36698, 3511814.00825",393649.248682619
"79","3","17","34","1","1","0","4649777.54077, 3234367.01124","4885422.36698, 3511814.00825",408872.001778624
"80","3","18","35","1","1","0","4649369.75051, 3214372.48236","4885422.36698, 3511814.00825",434171.172929633
"81","3","19","36","1","1","0","4648987.94146, 3194410.68312","4885422.36698, 3511814.00825",457585.944333863
"82","3","20","37","1","0","0","4651765.73253, 3178385.62063","4885422.36698, 3511814.00825",472725.405003124
"98","4","5","38","0","0","0","4667453.87271, 3472383.68002","4885422.36698, 3511814.00825",246113.194260263
"99","4","6","39","0","1","0","4666468.96594, 3454468.32857","4885422.36698, 3511814.00825",256450.015408889
"100","4","7","40","1","1","0","4666468.96594, 3434468.32857","4885422.36698, 3511814.00825",264437.263832271
"101","4","8","41","1","1","0","4666468.96594, 3414468.32857","4885422.36698, 3511814.00825",275575.243141222
"102","4","9","42","1","1","0","4666468.96594, 3394468.32857","4885422.36698, 3511814.00825",293745.791612032
"103","4","10","43","1","1","0","4666468.96594, 3374468.32857","4885422.36698, 3511814.00825",302938.402815316
"104","4","11","44","0","1","0","4666468.96594, 3354468.32857","4885422.36698, 3511814.00825",316074.84208092
"105","4","12","45","1","0","0","4666468.96594, 3334468.32857","4885422.36698, 3511814.00825",326158.712493619
