id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"3","1","3","1","1","1","0","4622669.62503, 3444801.39719","4888804.42546, 3496273.76387",162906.174799001
"4","1","4","2","1","1","0","4623357.3748, 3407854.00295","4888804.42546, 3496273.76387",174652.149054575
"5","1","5","3","1","1","0","4627263.36665, 3362591.92436","4888804.42546, 3496273.76387",174652.149054575
"6","1","6","4","1","1","0","4623589.71749, 3316961.44187","4888804.42546, 3496273.76387",174652.149054575
"7","1","7","5","1","1","0","4635729.04109, 3272317.36512","4888804.42546, 3496273.76387",174652.149054575
"8","1","8","6","0","0","0","4639132.20027, 3248148.07645","4888804.42546, 3496273.76387",174652.149054575
"9","1","9","7","1","1","0","4641351.19413, 3188809.90827","4888804.42546, 3496273.76387",178094.316185207
"16","2","2","8","0","0","0","4675854.5672, 3479292.84592","4888804.42546, 3496273.76387",8674.5736837097
"17","2","3","9","1","1","0","4664327.84508, 3451562.05496","4888804.42546, 3496273.76387",162906.174799001
"18","2","4","10","1","1","0","4663968.96594, 3406968.32857","4888804.42546, 3496273.76387",174652.149054575
"19","2","5","11","1","1","0","4663968.96594, 3361968.32857","4888804.42546, 3496273.76387",174652.149054575
"20","2","6","12","1","1","0","4663968.96594, 3316968.32857","4888804.42546, 3496273.76387",174652.149054575
"21","2","7","13","1","1","0","4663968.96594, 3271968.32857","4888804.42546, 3496273.76387",174652.149054575
"22","2","8","14","1","1","0","4664515.19416, 3226911.02785","4888804.42546, 3496273.76387",174652.149054575
"23","2","9","15","1","1","0","4666362.90269, 3184019.27938","4888804.42546, 3496273.76387",178094.316185207
"24","2","10","16","1","1","0","4676855.78942, 3137733.99877","4888804.42546, 3496273.76387",178094.316185207
"25","2","11","17","1","1","0","4677903.77278, 3103145.35789","4888804.42546, 3496273.76387",922558.77109228
"30","3","2","18","1","1","0","4712074.23048, 3487524.23039","4888804.42546, 3496273.76387",8674.5736837097
"31","3","3","19","1","1","0","4708968.96594, 3451968.32857","4888804.42546, 3496273.76387",162906.174799001
"32","3","4","20","1","1","0","4708968.96594, 3406968.32857","4888804.42546, 3496273.76387",174652.149054575
"33","3","5","21","1","1","0","4708968.96594, 3361968.32857","4888804.42546, 3496273.76387",174652.149054575
"34","3","6","22","1","1","0","4708968.96594, 3316968.32857","4888804.42546, 3496273.76387",174652.149054575
"35","3","7","23","1","1","0","4708968.96594, 3271968.32857","4888804.42546, 3496273.76387",174652.149054575
"36","3","8","24","1","1","0","4708968.96594, 3226968.32857","4888804.42546, 3496273.76387",178094.316185207
"37","3","9","25","1","1","0","4708968.96594, 3181968.32857","4888804.42546, 3496273.76387",178094.316185207
"38","3","10","26","1","1","0","4708968.96594, 3136968.32857","4888804.42546, 3496273.76387",922558.77109228
"39","3","11","27","1","1","0","4709887.22674, 3100680.02788","4888804.42546, 3496273.76387",922558.77109228
"43","4","1","28","0","0","0","4768855.99917, 3522928.61786","4888804.42546, 3496273.76387",8674.5736837097
"44","4","2","29","1","1","0","4754850.53794, 3495851.71083","4888804.42546, 3496273.76387",8674.5736837097
"45","4","3","30","1","1","0","4753968.96594, 3451968.32857","4888804.42546, 3496273.76387",146912.875279382
"46","4","4","31","1","1","0","4753968.96594, 3406968.32857","4888804.42546, 3496273.76387",162906.174799001
"47","4","5","32","1","1","0","4753968.96594, 3361968.32857","4888804.42546, 3496273.76387",174652.149054575
"48","4","6","33","0","1","0","4753968.96594, 3316968.32857","4888804.42546, 3496273.76387",174652.149054575
"49","4","7","34","1","1","0","4753968.96594, 3271968.32857","4888804.42546, 3496273.76387",178094.316185207
"50","4","8","35","1","1","0","4753968.96594, 3226968.32857","4888804.42546, 3496273.76387",178094.316185207
"51","4","9","36","1","1","0","4753968.96594, 3181968.32857","4888804.42546, 3496273.76387",178094.316185207
"52","4","10","37","1","1","0","4753968.96594, 3136968.32857","4888804.42546, 3496273.76387",920562.128751366
"53","4","11","38","1","1","0","4755410.37999, 3096379.39108","4888804.42546, 3496273.76387",922558.77109228
"54","4","12","39","1","0","0","4771536.60759, 3058606.90176","4888804.42546, 3496273.76387",922558.77109228
"57","5","1","40","0","1","0","4802690.93535, 3530618.04242","4888804.42546, 3496273.76387",14232.9979548214
"58","5","2","41","1","1","0","4798968.96594, 3496968.32857","4888804.42546, 3496273.76387",8674.5736837097
"59","5","3","42","1","1","0","4798968.96594, 3451968.32857","4888804.42546, 3496273.76387",143334.265311199
"60","5","4","43","1","1","0","4798968.96594, 3406968.32857","4888804.42546, 3496273.76387",162906.174799001
"61","5","5","44","1","1","0","4798968.96594, 3361968.32857","4888804.42546, 3496273.76387",174652.149054575
"62","5","6","45","1","1","0","4798968.96594, 3316968.32857","4888804.42546, 3496273.76387",178094.316185207
"63","5","7","46","1","1","0","4798968.96594, 3271968.32857","4888804.42546, 3496273.76387",178094.316185207
"64","5","8","47","1","1","0","4798968.96594, 3226968.32857","4888804.42546, 3496273.76387",178094.316185207
"65","5","9","48","1","1","0","4798968.96594, 3181968.32857","4888804.42546, 3496273.76387",178094.316185207
"66","5","10","49","1","1","0","4798968.96594, 3136968.32857","4888804.42546, 3496273.76387",920562.128751366
"67","5","11","50","1","1","0","4798968.96594, 3091968.32857","4888804.42546, 3496273.76387",922558.77109228
"68","5","12","51","1","1","0","4794753.15251, 3052193.97052","4888804.42546, 3496273.76387",922558.77109228
"69","5","13","52","0","0","0","4800221.9291, 3023824.19166","4888804.42546, 3496273.76387",922558.77109228
