id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE
2,1,2,1,1660959.29226271,7209551.792743268,False,False,False
3,1,3,2,1628932.1239530884,7162050.706801695,True,True,False
4,1,4,3,1628114.8425653325,7082446.506008228,True,True,False
5,1,5,4,1623978.82676645,6994464.011770778,True,True,False
6,1,6,5,1622670.7996214817,6924274.3485929,True,True,False
7,1,7,6,1634402.6927947486,6845738.973769861,True,True,False
8,1,8,7,1635034.8713527385,6763471.240660119,True,True,False
15,2,2,8,1721510.9933360117,7218821.278397834,True,True,False
16,2,3,9,1707888.2959448206,7159907.648278554,True,True,False
17,2,4,10,1701626.9123948445,7075641.423895078,True,True,False
18,2,5,11,1695523.1934937711,6992253.005941334,True,True,False
19,2,6,12,1689571.4459563496,6909718.170923787,True,True,False
20,2,7,13,1683766.2500939686,6828013.537801217,True,True,False
21,2,8,14,1679356.4231208519,6748151.058711159,True,True,False
22,2,9,15,1688509.3062350792,6667521.351906592,True,True,False
23,2,10,16,1687032.7264929763,6607339.367094914,True,True,False
27,3,1,17,1844208.9087061726,7278450.590976254,False,False,False
28,3,2,18,1802999.306945487,7230484.616141976,True,True,False
29,3,3,19,1792376.3870095965,7153200.935663114,True,True,False
30,3,4,20,1785235.2867714597,7069085.300227548,True,True,False
31,3,5,21,1778273.6831232412,6985841.904036587,True,True,False
32,3,6,22,1771485.110360753,6903446.790931412,True,True,False
33,3,7,23,1764863.4125752128,6821876.831317854,True,True,False
34,3,8,24,1758402.7254205162,6741109.683324366,True,True,False
35,3,9,25,1752097.4591516,6661123.7561524855,True,True,False
36,3,10,26,1748868.5024779588,6597975.511404454,True,True,False
40,4,1,27,1902917.7810815533,7286065.159148403,True,True,False
41,4,2,28,1884948.135094029,7230450.942235301,True,True,False
42,4,3,29,1876724.0119472975,7145614.790782402,True,True,False
43,4,4,30,1868708.5473396238,7061669.116111588,True,True,False
44,4,5,31,1860894.151997238,6978589.413398134,True,True,False
45,4,6,32,1853273.6032903022,6896352.026462946,True,True,False
46,4,7,33,1845840.023489791,6814934.10793159,True,True,False
47,4,8,34,1838586.8595503168,6734313.581634363,True,True,False
48,4,9,35,1831507.8642958472,6654469.107098998,True,True,False
49,4,10,36,1828453.2305587628,6579192.151107511,True,True,False
50,4,11,37,1838677.1631078057,6513276.709933455,True,True,False
53,5,1,38,1982689.8605314263,7295706.928715274,True,True,False
54,5,2,39,1970028.8987063658,7221794.026559813,True,True,False
55,5,3,40,1960914.3296604466,7137154.26277685,True,True,False
56,5,4,41,1952030.4789138262,7053397.670801113,True,True,False
57,5,5,42,1943368.9815230914,6970500.098394147,True,True,False
58,5,6,43,1934921.8751078036,6888438.220937586,True,True,False
59,5,7,44,1926681.5760874469,6807189.503072081,True,True,False
60,5,8,45,1918640.857577171,6726732.16245757,True,True,False
61,5,9,46,1910792.8288093845,6647045.135517365,True,True,False
62,5,10,47,1903134.8559030024,6568117.772859415,True,True,False
63,5,11,48,1922276.036780537,6524076.3773072455,True,True,False
63,5,11,49,1867190.0711426463,6506123.605875625,True,True,False
66,6,1,50,2044970.0824414142,7288453.714963105,True,True,False
67,6,2,51,2054928.8269642633,7212248.780529435,True,True,True
68,6,3,52,2044930.7388005438,7127824.951039567,True,True,False
69,6,4,53,2035185.0916214716,7044276.287558494,True,True,True
70,6,5,54,2025682.7650139288,6961579.022659904,True,True,True
71,6,6,55,2016415.0756195404,6879710.193702521,True,True,False
72,6,7,56,2007373.7514674703,6798647.606067095,True,True,False
73,6,8,57,1998550.908088297,6718369.798386394,True,True,False
74,6,9,58,1989939.0262672037,6638856.009642118,True,True,False
75,6,10,59,1981530.9313073785,6560086.148011734,True,True,False
76,6,11,60,1989196.332084958,6488053.15024485,True,True,False
79,7,1,61,2153800.279726802,7248628.3597152345,False,False,False
80,7,2,62,2139630.9572264417,7201821.6606440265,True,True,True
81,7,3,63,2128756.901212417,7117632.991389917,True,True,True
82,7,4,64,2118156.6430102177,7034310.8008171655,True,True,True
83,7,5,65,2107820.3285482056,6951831.737168263,True,True,True
84,7,6,66,2097738.5737694763,6870173.228937526,True,True,False
85,7,7,67,2087902.4371838884,6789313.449814243,True,True,False
86,7,8,68,2078303.3943123028,6709231.285482606,True,True,False
87,7,9,69,2068933.3138735413,6629906.30216476,True,True,False
88,7,10,70,2059784.435577824,6551318.7168008145,True,True,False
89,7,11,71,2051539.6949519864,6475296.193539426,True,True,False
90,7,12,72,2076927.76754595,6420782.337634594,True,True,False
92,8,1,73,2231456.5945410565,7240865.988451625,True,True,False
93,8,2,74,2224118.6308831032,7190519.670431952,True,True,False
94,8,3,75,2212376.7644334733,7106585.041061875,True,True,False
95,8,4,76,2200929.659288174,7023507.542237632,True,True,False
96,8,5,77,2189766.7510328484,6941264.267266171,True,True,True
97,8,6,78,2178877.976601343,6859833.063592927,True,True,True
