id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE
3,1,3,1,1625893.930672286,7174655.749607813,True,True,False
4,1,4,2,1623037.3798535697,7112062.401175715,True,True,False
5,1,5,3,1624720.2989413324,7035725.860057281,True,True,False
6,1,6,4,1613842.7169566893,6960290.467855622,True,True,False
7,1,7,5,1629146.5547627183,6885545.817217495,True,True,False
8,1,8,6,1632166.8943322087,6845689.666903337,False,False,False
9,1,9,7,1629615.6026721841,6749291.508898647,True,True,False
16,2,2,8,1720471.057048014,7227106.418815612,False,False,False
17,2,3,9,1697318.8738791302,7181314.897815563,True,True,False
18,2,4,10,1691202.3129867567,7105949.679687972,True,True,False
19,2,5,11,1685770.2258266942,7030568.537346426,True,True,False
20,2,6,12,1680460.662442659,6955888.139122524,True,True,False
21,2,7,13,1675269.6572855723,6881891.11131487,True,True,False
22,2,8,14,1671071.5320930718,6808406.650385293,True,True,False
23,2,9,15,1669295.9579066217,6738915.716671182,True,True,False
24,2,10,16,1680955.3215724933,6663644.421051206,True,True,False
25,2,11,17,1678811.2389781403,6608585.773530204,True,True,False
30,3,2,18,1783388.1659045476,7236248.206871275,True,True,False
31,3,3,19,1773025.2447417313,7176138.43571639,True,True,False
32,3,4,20,1766747.6688025563,7100158.78668024,True,True,False
33,3,5,21,1760612.9177539567,7024893.7975481525,True,True,False
34,3,6,22,1754616.326640568,6950325.703426116,True,True,False
35,3,7,23,1748753.4333775458,6876437.296457527,True,True,False
36,3,8,24,1743019.967899371,6803211.902029917,True,True,False
37,3,9,25,1737411.841996945,6730633.356205253,True,True,False
38,3,10,26,1731925.139792698,6658685.984299257,True,True,False
39,3,11,27,1729035.6129867435,6601006.5649457015,True,True,False
43,4,1,28,1886089.4109857331,7288168.30040507,False,False,False
44,4,2,29,1857659.749280198,7244034.665794417,True,True,False
45,4,3,30,1849177.9921823584,7169510.039089757,True,True,False
46,4,4,31,1842185.441209558,7093664.891095295,True,True,False
47,4,5,32,1835351.7010710859,7018529.909094692,True,True,False
48,4,6,33,1828671.5973572205,6944087.523392392,False,True,False
49,4,7,34,1822140.1800190243,6870320.710830878,True,True,False
50,4,8,35,1815752.7114102042,6797212.971665403,True,True,False
51,4,9,36,1809504.6550843697,6724748.307613341,True,True,False
52,4,10,37,1803391.6652927725,6652911.201007639,True,True,False
53,4,11,38,1800260.217617397,6588449.5866766805,True,True,False
54,4,12,39,1820518.7218969944,6526923.113549974,True,False,False
57,5,1,40,1945495.72183726,7295552.730725331,False,True,False
58,5,2,41,1933090.6736097925,7238587.531570701,True,True,False
59,5,3,42,1925206.8676513978,7162167.921159594,True,True,False
60,5,4,43,1917503.604668024,7086471.435948931,True,True,False
